name,reviews,competitors,website,owner_name,rating,link,domain
Cupid's Closet LAX Adult Store & Sex Shop,91,,http://cupidscloset.com/,Cupid's Closet LAX Adult Store & Sex Shop (Sahibi),4.5,https://www.google.com/maps/place/Cupid%27s+Closet+LAX+Adult+Store+%26+Sex+Shop/data=!4m7!3m6!1s0x80c2b0eb36444ad7:0x83e55d8534079d3d!8m2!3d33.9618484!4d-118.4206687!16s%2Fg%2F1ptxwtmys!19sChIJ10pENuuwwoARPZ0HNIVd5YM?authuser=0&hl=tr&rclk=1,
Adult Warehouse Outlet Panorama,83,,http://www.adultwarehouseoutlet.com/,Adult Warehouse Outlet Panorama (Sahibi),4.7,https://www.google.com/maps/place/Adult+Warehouse+Outlet+Panorama/data=!4m7!3m6!1s0x80c295cbb89d8a19:0xb87f432d91e14e30!8m2!3d34.2187879!4d-118.4482773!16s%2Fg%2F1q2w0v5qc!19sChIJGYqduMuVwoARME7hkS1Df7g?authuser=0&hl=tr&rclk=1,
The Love Store,78,,http://www.thelovestore.com/,The Love Store (Sahibi),3.6,https://www.google.com/maps/place/The+Love+Store/data=!4m7!3m6!1s0x80c3661512a058ff:0x6dbfd3e30f886948!8m2!3d34.4746197!4d-117.3415924!16s%2Fg%2F11f01vhf8q!19sChIJ_1igEhVmw4ARSGmID-PTv20?authuser=0&hl=tr&rclk=1,
Naughty or Nice Boutique,78,,http://naughty-or-nice-boutique.mybigcommerce.com/login.php,Naughty or Nice Boutique (Sahibi),4.6,https://www.google.com/maps/place/Naughty+or+Nice+Boutique/data=!4m7!3m6!1s0x80853d53f74ea50d:0x7d4443df65049799!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1v2yz2c6!19sChIJDaVO91M9hYARmZcEZd9DRH0?authuser=0&hl=tr&rclk=1,
Suzie's Adult Superstore,75,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),4.6,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x809acf921882269d:0xe4208bd2bb3706dc!8m2!3d38.4964766!4d-121.4584506!16s%2Fg%2F1v_w2m0y!19sChIJnSaCGJLPmoAR3AY3u9KLIOQ?authuser=0&hl=tr&rclk=1,
Romantix,70,,https://www.romantix.com/s/,Romantix (Sahibi),4.9,https://www.google.com/maps/place/Romantix/data=!4m7!3m6!1s0x80dcd9ca6ad51ba9:0x742417a011df67a1!8m2!3d33.7933342!4d-117.8354444!16s%2Fg%2F11g1_6l2dt!19sChIJqRvVasrZ3IARoWffEaAXJHQ?authuser=0&hl=tr&rclk=1,
The Toy Box,64,,http://toyboxupland.com/,The Toy Box (Sahibi),4.6,https://www.google.com/maps/place/The+Toy+Box/data=!4m7!3m6!1s0x80c3319fd874aff7:0x93fb8812e12dc30d!8m2!3d34.0999736!4d-117.6903946!16s%2Fg%2F1vs1s4j4!19sChIJ96902J8xw4ARDcMt4RKI-5M?authuser=0&hl=tr&rclk=1,
"Shop Sex Toys Here - The ""Y Not""",63,,http://they-not.com/,"Shop Sex Toys Here - The ""Y Not"" (Sahibi)",4.2,https://www.google.com/maps/place/Shop+Sex+Toys+Here+-+The+%22Y+Not%22/data=!4m7!3m6!1s0x808fcb3ea02e2a6b:0xa07911019da05d7f!8m2!3d37.323603!4d-121.930111!16s%2Fg%2F1thsg4qb!19sChIJayouoD7Lj4ARf12gnQEReaA?authuser=0&hl=tr&rclk=1,
Spanky's Adult Emporium,59,,http://www.spankysonline.com/,Spanky's Adult Emporium (Sahibi),4,https://www.google.com/maps/place/Spanky%27s+Adult+Emporium/data=!4m7!3m6!1s0x80dcd879eeff23e9:0xb032bcb7e3629f04!8m2!3d33.7465443!4d-117.9198526!16s%2Fg%2F1ttq2dpr!19sChIJ6SP_7nnY3IARBJ9i47e8MrA?authuser=0&hl=tr&rclk=1,
Diamond Adult World,56,,http://diamondadult.com/,Diamond Adult World (Sahibi),4.5,https://www.google.com/maps/place/Diamond+Adult+World/data=!4m7!3m6!1s0x80ece9d5bfb9e94d:0x940f6434dcac86fb!8m2!3d35.4844875!4d-120.6616749!16s%2Fg%2F1tnhyn7n!19sChIJTem5v9Xp7IAR-4as3DRkD5Q?authuser=0&hl=tr&rclk=1,
